Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
0.9999646753988232,3.0875904448948365e-05,3.152891768297974e-27,1.8627901825608207e-22,4.448696727932914e-06,8703058
1.1602007148434673e-05,0.9878864391283437,3.967668591768549e-23,1.3502079837442756e-06,0.012100608656524238,8703063
5.1196192202230515e-15,0.45738559980163135,1.5398315269932374e-22,9.085559179147896e-08,0.5426143093427717,8703069
3.1513114303066524e-22,0.05712109234523463,3.2173571865562966e-23,0.9088457181295476,0.03403318952521763,8703070
2.6044824311857375e-06,0.7181478830662378,7.293629706593347e-23,1.5427076904859192e-09,0.28184951090862337,8703052
3.7676893544691564e-16,0.0032595215795720098,6.31074368663575e-21,0.8992316591708064,0.09750881924962121,8703035
6.785717929434992e-06,0.9917627697034406,2.311315157554063e-24,8.852905848454044e-07,0.008229559288045201,8706003
0.9752956970346992,0.023845791774438123,9.86518100633811e-24,6.230121426534155e-16,0.0008585111908620671,8706005
8.655027590824767e-11,0.0002632368294142917,1.9787121847216695e-23,0.9996975917290984,3.917135493706623e-05,8706037
3.8028619716949727e-28,8.4304739242342e-05,8.738151818610427e-21,0.9999156274276325,6.783312527243954e-08,8706039
1.1602007148434673e-05,0.9878864391283437,3.967668591768549e-23,1.3502079837442756e-06,0.012100608656524238,8706032
3.39407668283415e-07,0.7937688740930716,3.5217424198045656e-22,5.812484277247529e-07,0.20623020525083224,8706038
2.6044824311857375e-06,0.7181478830662378,7.293629706593347e-23,1.5427076904859192e-09,0.28184951090862337,8706016
1.0065530359737055e-05,0.7153105627047052,1.8212903358313345e-23,9.267864405109474e-09,0.28467936249707076,8706025
0.15614501836221226,0.843851798625391,1.2758394851055333e-17,1.5812060082580202e-06,1.601806388490169e-06,8707005
0.48243378268318615,1.3918658594295054e-08,2.2671704496766273e-28,5.004556118236952e-22,0.5175662033981553,8707012
0.008787177256823311,0.9448935249841177,9.3671462786065e-24,2.982194802282903e-10,0.04631929746083952,8707020
1.1602007148434673e-05,0.9878864391283437,3.967668591768549e-23,1.3502079837442756e-06,0.012100608656524238,8708011
5.395394137580648e-13,0.0035119184032948907,1.7145176869855396e-21,0.8605466546201773,0.13594142697598827,8708006
5.395394137580648e-13,0.0035119184032948907,1.7145176869855396e-21,0.8605466546201773,0.13594142697598827,8709005
0.9576010522672284,0.01954088071805284,5.124997097225902e-24,4.839720517418271e-18,0.022858067014718788,8709006
