CC,feature,URB,shap_value,fold
301028,MUR,4,0.06363030618426807,0
301028,MUR,5,-0.08718268708739016,0
301028,CAD,1,-0.0,0
301028,CAD,2,-0.0,0
301028,CAD,3,-0.0,0
301028,CAD,4,-0.0,0
301028,CAD,5,0.0,0
301028,BOL,1,0.4714863756804472,0
301028,BOL,2,-0.5475108760788057,0
301028,BOL,3,0.13098881147530503,0
301028,BOL,4,-0.4333340435117104,0
301028,BOL,5,0.37836973243476374,0
301028,ARB,1,0.1531095028546053,0
301028,ARB,2,0.08923991358689728,0
301028,ARB,3,-0.036538897945389656,0
301028,ARB,4,-0.19818539129947893,0
301028,ARB,5,-0.007625127196631145,0
301028,CPP,1,0.04025749506762682,0
301028,CPP,2,0.011789044560298381,0
301028,CPP,3,-0.028887521528008647,0
301028,CPP,4,-0.033751390069968856,0
301028,CPP,5,0.010592371970052425,0
301028,PVI,1,0.640200610404242,0
301028,PVI,2,0.7783772969204014,0
301028,PVI,3,-0.2511935371164232,0
301028,PVI,4,-1.1137458866942838,0
301028,PVI,5,-0.05363848351393525,0
301028,PBL,1,0.5620550198309934,0
301028,PBL,2,0.10902450962175171,0
301028,PBL,3,0.05735042017048712,0
301028,PBL,4,-0.722883801799337,0
301028,PBL,5,-0.005546147823891673,0
301028,COM,1,-0.3642557252051763,0
301028,COM,2,-0.04099735684599639,0
301028,COM,3,-0.09546281346147156,0
301028,COM,4,0.13459525380407938,0
301028,COM,5,0.36612064170857006,0
301028,COMS,1,0.14797927362504154,0
301028,COMS,2,-0.16928476473074655,0
301028,COMS,3,0.22713760657360527,0
301028,COMS,4,-0.1888237570999264,0
301028,COMS,5,-0.017008358367967075,0
301028,PPU,1,-2.5698616365954017,0
301028,PPU,2,-1.7483412384456112,0
301028,PPU,3,2.709747615211,0
301028,PPU,4,-2.2106658718910084,0
301028,PPU,5,3.8191211317210225,0
301028,PRE,1,0.018269023496310613,0
301028,PRE,2,-0.013836847603026987,0
301028,PRE,3,-0.018593921062874982,0
301028,PRE,4,0.0007817607288837521,0
301028,PRE,5,0.013379984440707829,0
301028,PPR,1,-0.2332975082321338,0
301028,PPR,2,-0.019290583043682013,0
301028,PPR,3,-0.3065034356238246,0
301028,PPR,4,0.06415497429106108,0
301028,PPR,5,0.49493655260858244,0
301028,GSE,1,-0.00825585693494548,0
301028,GSE,2,0.07873760218085886,0
301028,GSE,3,-0.005352039014628321,0
301028,GSE,4,0.0016957094729688205,0
301028,GSE,5,-0.0668254157042541,0
301028,CSE,1,-0.8599094763554886,0
301028,CSE,2,0.2339710095509644,0
301028,CSE,3,-0.1220392172202722,0
301028,CSE,4,0.6881199602470217,0
301028,CSE,5,0.05985772377777048,0
301028,BSE,1,-0.050770805991125885,0
301028,BSE,2,-0.01595498924798496,0
301028,BSE,3,0.04785428346186062,0
301028,BSE,4,0.014191846802553414,0
301028,BSE,5,0.004679664974696965,0
301028,ASE,1,0.0,0
301028,ASE,2,-0.0,0
301028,ASE,3,-0.0,0
301028,ASE,4,-0.0,0
301028,ASE,5,-0.0,0
301001,CSS,1,0.26377301507186196,0
301001,CSS,2,0.22205798045926226,0
301001,CSS,3,-0.7868683771032348,0
301001,CSS,4,0.20218295646223955,0
301001,CSS,5,0.09885442510987315,0
301001,CFS,1,-0.06258280162428789,0
301001,CFS,2,0.07127054407761195,0
301001,CFS,3,-0.2122381445531793,0
301001,CFS,4,0.04152180742233522,0
301001,CFS,5,0.16202859467752107,0
301001,CPE,1,0.041096057041677306,0
301001,CPE,2,0.014295279640003992,0
301001,CPE,3,-0.10838721431412209,0
301001,CPE,4,0.005722479736800439,0
301001,CPE,5,0.04727339789564012,0
301001,LIN,1,0.1260364863421757,0
301001,LIN,2,0.1296541249749983,0
301001,LIN,3,-0.13523624927440625,0
301001,LIN,4,0.027266585530069044,0
301001,LIN,5,-0.14772094757283727,0
301001,LEX,1,-0.07559433295127192,0
301001,LEX,2,0.5016610186389172,0
301001,LEX,3,-0.07740123046991002,0
301001,LEX,4,-0.6679861226373243,0
301001,LEX,5,0.3193206674195736,0
301001,DIS_1,1,-0.032980367000825954,0
301001,DIS_1,2,0.14637505465415024,0
301001,DIS_1,3,-0.22351413956893995,0
301001,DIS_1,4,0.037046567811755075,0
301001,DIS_1,5,0.07307288410386056,0
301001,DIS_2,1,0.0395373763847419,0
301001,DIS_2,2,-0.020638001058048965,0
301001,DIS_2,3,-0.2509422203908921,0
301001,DIS_2,4,0.03452857059750168,0
301001,DIS_2,5,0.19751427446669723,0
301001,DIS_3,1,0.0762596678412615,0
301001,DIS_3,2,0.23631886466843094,0
301001,DIS_3,3,-1.1347352868434208,0
301001,DIS_3,4,0.14588450914912168,0
301001,DIS_3,5,0.6762722451846083,0
301001,VER,1,-0.2574636334360184,0
301001,VER,2,-0.38328323648846085,0
301001,VER,3,-0.07154325822242165,0
301001,VER,4,0.16930501057068525,0
301001,VER,5,0.5429851175762234,0
301001,MUR,1,0.007755584620109551,0
301001,MUR,2,0.16357504408880533,0
301001,MUR,3,-0.14777824780579535,0
301001,MUR,4,0.06363030618426807,0
301001,MUR,5,-0.08718268708739016,0
301001,CAD,1,-0.0,0
301001,CAD,2,-0.0,0
301001,CAD,3,-0.0,0
301001,CAD,4,-0.0,0
301001,CAD,5,0.0,0
301001,BOL,1,-0.030094875043432803,0
301001,BOL,2,0.0349475027284344,0
301001,BOL,3,-0.008360987966508832,0
301001,BOL,4,0.027659619798619816,0
301001,BOL,5,-0.02415125951711258,0
301001,ARB,1,0.1531095028546053,0
