CC,MUN,LAT,LON,YEAR,SUP,NVIV,VAI,VPA,VAD,PMC,PMA,CON,PIS,PTP,PBA,CFU,CGO,GIM,PAR,MOB,JAR
2101013,ARMILLA,444217.775,4110383.375,2003,4136.0,30,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
2201009,ATARFE,439242.666,4120091.988,2006,973.0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2201001,ATARFE,439293.525,4126415.929,2008,29944.42,124,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
2201011,ATARFE,438471.436,4119620.595,2004,1557.0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2201025,ATARFE,439252.852,4126576.923,2007,8620.0,53,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
2201016,ATARFE,439200.936,4119883.338,1991,1009.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2201010,ATARFE,438720.27,4119928.159,1992,6263.94,54,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2201012,ATARFE,438406.523,4119721.055,2007,1514.0,25,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2201022,ATARFE,438302.971,4119515.497,2010,1003.0,26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2201007,ATARFE,439717.15,4120192.449,2007,1536.0,36,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2202020,ATARFE,439230.302,4119680.871,2002,821.0,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2202013,ATARFE,438340.064,4119323.849,2010,23505.62,144,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
2202017,ATARFE,438516.257,4119280.573,2008,1676.0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2202026,ATARFE,439026.147,4119468.163,2011,5009.68,18,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3601001,CAJAR,449138.138,4110267.25,1993,5787.0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3601002,CAJAR,449305.441,4109791.378,1994,2005.0,38,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
3601003,CAJAR,449241.996,4109757.98,2002,1680.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3601004,CAJAR,449302.101,4109368.971,2000,2800.0,22,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3601005,CAJAR,449537.514,4108756.231,1993,2052.0,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3601006,CAJAR,449093.402,4109714.576,1998,3950.13,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3601007,CAJAR,448946.478,4109308.866,2004,5571.0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4701003,CENES_DE_LA_VEGA,451452.795,4113118.972,1995,5440.0,58,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4701004,CENES_DE_LA_VEGA,451619.378,4113646.364,2000,15255.28,72,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4701005,CENES_DE_LA_VEGA,451779.408,4113287.546,2003,9477.74,42,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
4701006,CENES_DE_LA_VEGA,451713.146,4113211.281,1994,1387.0,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4701007,CENES_DE_LA_VEGA,451693.142,4113140.018,1992,1336.0,38,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4701008,CENES_DE_LA_VEGA,451755.654,4113024.996,2001,5844.0,118,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4701009,CENES_DE_LA_VEGA,451951.941,4113112.513,2004,3270.36,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4701013,CENES_DE_LA_VEGA,452043.039,4113016.604,1992,2447.0,73,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4701011,CENES_DE_LA_VEGA,452018.204,4112686.182,1994,2131.0,59,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4701001,CENES_DE_LA_VEGA,451406.665,4112895.529,1991,2687.0,121,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4701002,CENES_DE_LA_VEGA,451568.841,4112957.516,1986,8111.0,83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4701010,CENES_DE_LA_VEGA,451801.913,4112772.448,1990,1105.0,37,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4701012,CENES_DE_LA_VEGA,452008.202,4113021.245,1995,924.0,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4701016,CENES_DE_LA_VEGA,452405.353,4112529.473,1987,2860.0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
4701018,CENES_DE_LA_VEGA,452771.135,4112484.401,1997,3051.0,77,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4701019,CENES_DE_LA_VEGA,452774.602,4112397.722,2006,9397.0,36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4701020,CENES_DE_LA_VEGA,452724.328,4112368.252,2007,4046.0,20,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
4701021,CENES_DE_LA_VEGA,452840.477,4112399.456,2007,3825.0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4701022,CENES_DE_LA_VEGA,452868.214,4112645.622,1992,6118.629999999999,19,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
4701014,CENES_DE_LA_VEGA,452301.34,4112446.262,2005,4060.0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4701015,CENES_DE_LA_VEGA,452363.748,4112541.608,1994,2856.0,129,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4701017,CENES_DE_LA_VEGA,452386.284,4112787.774,1992,3918.0,77,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4801003,CIJUELA,427584.28,4116950.208,2007,2282.0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4801001,CIJUELA,428682.744,4117356.998,2010,2218.0,53,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4801002,CIJUELA,428469.411,4116902.507,2007,3889.0,27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6201008,CHURRIANA_DE_LA_VEGA,442628.268,4111362.576,2003,1962.0,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6201009,CHURRIANA_DE_LA_VEGA,442252.926,4111437.147,2006,2034.0,43,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6201010,CHURRIANA_DE_LA_VEGA,442218.126,4111457.033,2007,1810.0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6201001,CHURRIANA_DE_LA_VEGA,443381.437,4111263.148,2006,4750.0,82,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
6201002,CHURRIANA_DE_LA_VEGA,443334.209,4111330.262,2008,2361.0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6201003,CHURRIANA_DE_LA_VEGA,443284.495,4111350.148,2008,2374.0,39,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
6201004,CHURRIANA_DE_LA_VEGA,443177.609,4111133.891,2008,4483.0,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6201006,CHURRIANA_DE_LA_VEGA,443212.409,4111457.033,1995,2414.0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6201007,CHURRIANA_DE_LA_VEGA,442953.896,4111494.319,2004,1620.0,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
6801001,DILAR,445745.752,4104349.421,2015,43134.28,33,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1
6801002,DILAR,443459.477,4101265.416,2020,616479.97,143,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1
